"n_ext";"sample.names";"type";"nichoir";"pot";"traitement";"mass_1sp";"mass_tot";"category"
"1";"1-pir54-lm";"nest";"pir54";15;"lavmen";0,408;0,816;"ech"
"2";"2-gra4-ct";"nest";"gra4";57;"ctr";0;NA;"ech"
"3";"3-ari11-lm";"nest";"ari11";27;"lavmen";0,32;0,64;"ech"
"4";"4-mur73-lm";"nest";"mur73";10;"lavmen";0,25;0,5;"ech"
"5";"5-gra18-m";"nest";"gra18";21;"men";0,5;NA;"ech"
"6";"6-fil4-l";"nest";"fil4";33;"lav";0,6;NA;"ech"
"7";"7-ctrl-e";"ctrl_ext";NA;NA;NA;NA;NA;"control"
"8";"8-tua211-a";"nest";"tua211";45;"ach";0,617;NA;"ech"
"9";"9-pir54-mi";"nest";"pir54";24;"menimm";0,408;0,816;"ech"
"10";"10-pir237-mi";"nest";"pir237";57;"menimm";0,217;0,434;"ech"
"11";"11-pir5-p";"nest";"pir5";44;"pul";0,383;NA;"ech"
"12";"12-pir5-ct";"nest";"pir5";23;"ctr";0;NA;"ech"
"13";"13-gra12-m";"nest";"gra12";54;"men";0,47;NA;"ech"
"14";"14-gra12-li";"nest";"gra12";45;"lavimm";0,235;0,47;"ech"
"15";"15-pir89-p";"nest";"pir89";67;"pul";0,667;NA;"ech"
"16";"16-gra4-l";"nest";"gra4";4;"lav";0,58;NA;"ech"
"17";"17-ari13-l";"nest";"ari13";28;"lav";0,62;NA;"ech"
"18";"18-ava9-m";"nest";"ava9";21;"men";0,6;NA;"ech"
"19";"19-ava9-i";"nest";"ava9";44;"imm";0,6;NA;"ech"
"20";"20-pl-p";"plant";NA;NA;"pul";NA;NA;"ech"
"21";"21-pl-i";"plant";NA;NA;"imm";NA;NA;"ech"
"23";"23-pir123-m";"nest";"pir123";37;"men";0,65;NA;"ech"
"24";"24-pir89-i";"nest";"pir89";61;"imm";0,667;NA;"ech"
"25";"25-fil4-m";"nest";"fil4";23;"men";0,6;NA;"ech"
"26";"26-gra4-mi";"nest";"gra4";59;"menimm";0,29;0,58;"ech"
"27";"27-pir237-lm";"nest";"pir237";54;"lavmen";0,217;0,434;"ech"
"28";"28-mur46-m";"nest";"mur46";31;"men";0,3;NA;"ech"
"29";"29-mur73-li";"nest";"mur73";55;"lavimm";0,25;0,5;"ech"
"30";"30-pir237-m";"nest";"pir237";55;"men";0,433;NA;"ech"
"31";"31-mur46-mi";"nest";"mur46";14;"menimm";0,15;0,3;"ech"
"32";"32-ava9-ct";"nest";"ava9";1;"ctr";0;NA;"ech"
"33";"33-pir103-lm";"nest";"pir103";32;"lavmen";0,287;0,574;"ech"
"34";"34-pir54-l";"nest";"pir54";53;"lav";0,817;NA;"ech"
"35";"35-mur93-m";"nest";"mur93";45;"men";0,5;NA;"ech"
"36";"36-ava16-l";"nest";"ava16";39;"lav";0,6;NA;"ech"
"37";"37-gra18-li";"nest";"gra18";58;"lavimm";0,25;0,5;"ech"
"38";"38-gra12-p";"nest";"gra12";49;"pul";0,47;NA;"ech"
"39";"39-gra18-mi";"nest";"gra18";41;"menimm";0,25;0,5;"ech"
"40";"40-pir103-l";"nest";"pir103";21;"lav";0,573;NA;"ech"
"41";"41-ava9-a";"nest";"ava9";4;"ach";0,6;NA;"ech"
"42";"42-gra18-lm";"nest";"gra18";36;"lavmen";0,25;0,5;"ech"
"43";"43-pir89-lm";"nest";"pir89";49;"lavmen";0,333;0,666;"ech"
"44";"44-pir237-li";"nest";"pir237";22;"lavimm";0,217;0,434;"ech"
"45";"45-tua211-ct";"nest";"tua211";46;"ctr";0;NA;"ech"
"46";"46-pir103-li";"nest";"pir103";65;"lavimm";0,287;0,574;"ech"
"47";"47-pir123-ct";"nest";"pir123";56;"ctr";0;NA;"ech"
"48";"48-pl-l";"plant";NA;NA;"lav";NA;NA;"ech"
"49";"49-pir123-li";"nest";"pir123";52;"lavimm";0,325;0,65;"ech"
"50";"50-pir5-lm";"nest";"pir5";33;"lavmen";0,192;0,384;"ech"
"51";"51-mur101-m";"nest";"mur101";8;"men";0,8;NA;"ech"
"52";"52-ari11-l";"nest";"ari11";33;"lav";0,64;NA;"ech"
"53";"53-ari11-ct";"nest";"ari11";61;"ctr";0;NA;"ech"
"54";"54-mur46-ct";"nest";"mur46";2;"ctr";0;NA;"ech"
"55";"55-mur101-ct";"nest";"mur101";56;"ctr";0;NA;"ech"
"56";"56-mur101-p";"nest";"mur101";39;"pul";0,8;NA;"ech"
"57";"57-pir89-l";"nest";"pir89";42;"lav";0,667;NA;"ech"
"58";"58-gra18-a";"nest";"gra18";22;"ach";0,5;NA;"ech"
"59";"59-pir89-mi";"nest";"pir89";14;"menimm";0,333;0,666;"ech"
"60";"60-pir237-ct";"nest";"pir237";58;"ctr";0;NA;"ech"
"61";"61-gra12-i";"nest";"gra12";11;"imm";0,47;NA;"ech"
"62";"62-gra4-a";"nest";"gra4";16;"ach";0,58;NA;"ech"
"63";"63-pl-p";"plant";NA;NA;"pul";NA;NA;"ech"
"64";"64-mur93-p";"nest";"mur93";55;"pul";0,5;NA;"ech"
"65";"65-pir54-ct";"nest";"pir54";30;"ctr";0;NA;"ech"
"66";"66-tua211-li";"nest";"tua211";51;"lavimm";0,308;0,616;"ech"
"67";"67-ava16-lm";"nest";"ava16";35;"lavmen";0,3;0,6;"ech"
"68";"68-tua211-lm";"nest";"tua211";69;"lavmen";0,308;0,616;"ech"
"69";"69-ari13-p";"nest";"ari13";18;"pul";0,53;NA;"ech"
"70";"70-pir89-a";"nest";"pir89";40;"ach";0,667;NA;"ech"
"71";"71-ava16-mi";"nest";"ava16";11;"menimm";0,3;0,6;"ech"
"72";"72-tua211-mi";"nest";"tua211";66;"menimm";0,308;0,616;"ech"
"73";"73-pir5-mi";"nest";"pir5";36;"menimm";0,192;0,384;"ech"
"74";"74-pir237-a";"nest";"pir237";9;"ach";0,433;NA;"ech"
"75";"75-mur46-p";"nest";"mur46";12;"pul";0,3;NA;"ech"
"78";"78-pir103-p";"nest";"pir103";71;"pul";0,573;NA;"ech"
"79";"79-pir123-p";"nest";"pir123";35;"pul";0,65;NA;"ech"
"80";"80-pir5-i";"nest";"pir5";50;"imm";0,383;NA;"ech"
"81";"81-pl-m";"plant";NA;NA;"men";NA;NA;"ech"
"82";"82-pir123-l";"nest";"pir123";8;"lav";0,65;NA;"ech"
"83";"83-pir103-a";"nest";"pir103";1;"ach";0,573;NA;"ech"
"84";"84-fil4-i";"nest";"fil4";38;"imm";0,6;NA;"ech"
"85";"85-mur93-a";"nest";"mur93";9;"ach";0,5;NA;"ech"
"86";"86-ava9-li";"nest";"ava9";51;"lavimm";0,3;0,6;"ech"
"87";"87-mur101-mi";"nest";"mur101";1;"menimm";0,4;0,8;"ech"
"88";"88-gra4-i";"nest";"gra4";7;"imm";0,58;NA;"ech"
"89";"89-fil4-mi";"nest";"fil4";29;"menimm";0,3;0,6;"ech"
"90";"90-pir89-m";"nest";"pir89";62;"men";0,667;NA;"ech"
"91";"91-ava16-a";"nest";"ava16";8;"ach";0,6;NA;"ech"
"92";"92-ava16-li";"nest";"ava16";3;"lavimm";0,3;0,6;"ech"
"93";"93-mur93-ct";"nest";"mur93";22;"ctr";0;NA;"ech"
"94";"94-ari11-p";"nest";"ari11";3;"pul";0,64;NA;"ech"
"95";"95-ari13-mi";"nest";"ari13";19;"menimm";0,265;0,53;"ech"
"96";"96-ava16-i";"nest";"ava16";37;"imm";0,6;NA;"ech"
"97";"97-ari11-li";"nest";"ari11";34;"lavimm";0,32;0,64;"ech"
"98";"98-mur46-a";"nest";"mur46";24;"ach";0,3;NA;"ech"
"99";"99-gra4-m";"nest";"gra4";58;"men";0,58;NA;"ech"
"100";"100-mur46-li";"nest";"mur46";8;"lavimm";0,15;0,3;"ech"
"101";"101-mur73-mi";"nest";"mur73";60;"menimm";0,25;0,5;"ech"
"102";"102-gra4-lm";"nest";"gra4";23;"lavmen";0,29;0,58;"ech"
"103";"103-pl-a";"plant";NA;NA;"ach";NA;NA;"ech"
"104";"104-gra4-li";"nest";"gra4";48;"lavimm";0,29;0,58;"ech"
"105";"105-pl-l";"plant";NA;NA;"lav";NA;NA;"ech"
"106";"106-fil4-li";"nest";"fil4";48;"lavimm";0,3;0,6;"ech"
"107";"107-mur73-m";"nest";"mur73";37;"men";0,5;NA;"ech"
"108";"108-pir123-i";"nest";"pir123";2;"imm";0,65;NA;"ech"
"109";"109-gra12-mi";"nest";"gra12";1;"menimm";0,235;0,47;"ech"
"110";"110-pl-m";"plant";NA;NA;"men";NA;NA;"ech"
