"";"categorie";"num_ext";"an";"nichoir";"date";"type";"nom_cermo";"clutch";"id"
"1S-4-2023-FIL12W";"swab";4;"2023";"FIL12";2023-04-25;"swab_w";"1S-4-2023-FIL12W";"FIL12";"FIL12_NC"
"1S-7-2023-FEL9W";"swab";7;"2023";"FEL9";2023-04-18;"swab_w";"1S-7-2023-FEL9W";"FEL9";"FEL9_NC"
"1S-9-2023-AVA3W";"swab";9;"2023";"AVA3";2023-04-18;"swab_w";"1S-9-2023-AVA3W";"AVA3";"AVA3_NC"
"1S-10-2023-FIL2W";"swab";10;"2023";"FIL2";2023-04-25;"swab_w";"1S-10-2023-FIL2W";"FIL2";"FIL2_NC"
"1S-11-2023-PIR3W";"swab";11;"2023";"PIR3";2023-05-19;"swab_w";"1S-11-2023-PIR3W";"PIR3";"PIR3_NC"
"1S-12-2023-MUR34W-1";"swab";12;"2023";"MUR34";2023-04-11;"swab_w";"1S-12-2023-MUR34W-1";"MUR34-1";"MUR34-1_NC"
"1S-15-2023-MUR72W";"swab";15;"2023";"MUR72";2023-04-11;"swab_w";"1S-15-2023-MUR72W";"MUR72";"MUR72_NC"
"1S-16-2023-GRA20W";"swab";16;"2023";"GRA20";2023-04-25;"swab_w";"1S-16-2023-GRA20W";"GRA20";"GRA20_NC"
"1S-20-2023-AVA4W";"swab";20;"2023";"AVA4";2023-05-27;"swab_w";"1S-20-2023-AVA4W";"AVA4";"AVA4_NC"
"1S-21-2023-PIR157W";"swab";21;"2023";"PIR157";2023-05-19;"swab_w";"1S-21-2023-PIR157W";"PIR157";"PIR157_NC"
"1S-23-2023-AVA9W";"swab";23;"2023";"AVA9";2023-05-30;"swab_w";"1S-23-2023-AVA9W";"AVA9-2";"AVA9-2_NC"
"1S-26-2023-FEL13W";"swab";26;"2023";"FEL13";2023-04-18;"swab_w";"1S-26-2023-FEL13W";"FEL13-1";"FEL13-1_NC"
"1S-27-2023-FEL19W";"swab";27;"2023";"FEL19";2023-05-25;"swab_w";"1S-27-2023-FEL19W";"FEL19";"FEL19_NC"
"1S-29-2023-PIR34W";"swab";29;"2023";"PIR34";2023-05-12;"swab_w";"1S-29-2023-PIR34W";"PIR34";"PIR34_NC"
"1S-31-2023-PIR20W";"swab";31;"2023";"PIR20";2023-05-12;"swab_w";"1S-31-2023-PIR20W";"PIR20";"PIR20_NC"
"1S-39-2023-FEL20W-1";"swab";39;"2023";"FEL20";2023-04-18;"swab_w";"1S-39-2023-FEL20W-1";"FEL20-1";"FEL20-1_NC"
"1S-40-2023-FIL3W";"swab";40;"2023";"FIL3";2023-04-18;"swab_w";"1S-40-2023-FIL3W";"FIL3";"FIL3_NC"
"1S-41-2023-MUR47W";"swab";41;"2023";"MUR47";2023-04-18;"swab_w";"1S-41-2023-MUR47W";"MUR47";"MUR47_NC"
