"nichoir";"pulenv";"echec_fledg";"pop";"an"
"ARI6";1;9;"EMuro";"2017"
"AVA8";9;0;"DMuro";"2014"
"AVA10";4;5;"DMuro";"2015"
"FIL1";6;0;"EMuro";"2013"
"FIL7";7;0;"EMuro";"2014"
"MUR95";9;0;"DMuro";"2012"
"MUR77";3;2;"DMuro";"2012"
"MUR21";9;0;"DMuro";"2017"
"PIR85";5;0;"EPirio";"2012"
"PIR5";4;0;"EPirio";"2012"
"PIR18";1;6;"EPirio";"2014"
"FEL4";0;6;"DMuro";"2015"
"GRA20";0;4;"EMuro";"2014"
"MUR40";0;8;"DMuro";"2015"
"PIR240";3;1;"EPirio";"2012"
"PIR129";0;8;"EPirio";"2015"
"PIR157";6;1;"EPirio";"2012"
"PIR207";2;3;"EPirio";"2012"
"PIR38";5;1;"EPirio";"2013"
"PIR131";2;2;"EPirio";"2012"
"PIR138";5;0;"EPirio";"2013"
"GRA15";6;2;"EMuro";"2012"
"GRA18";7;1;"EMuro";"2012"
"GRA15";3;5;"EMuro";"2014"
"PIR90";7;0;"EPirio";"2011"
"PIR246";5;1;"EPirio";"2011"
"PIR246";0;7;"EPirio";"2012"
"PIR65";8;0;"EPirio";"2013"
"PIR65";8;0;"EPirio";"2014"
"PIR235";5;1;"EPirio";"2011"
"PIR74";7;0;"EPirio";"2013"
"PIR34";5;1;"EPirio";"2011"
"PIR73";5;0;"EPirio";"2011"
"PIR98";4;1;"EPirio";"2011"
"PIR98";2;2;"EPirio";"2012"
"PIR247";1;1;"EPirio";"2011"
"PIR69";9;0;"EPirio";"2011"
"PIR19";0;7;"EPirio";"2011"
"GRA7";7;0;"EMuro";"2012"
"GRA7";7;0;"EMuro";"2013"
"MUR45";4;0;"DMuro";"2004"
"PIR91";2;5;"EPirio";"2009"
"PIR93";8;0;"EPirio";"2010"
"PIR93";2;0;"EPirio";"2011"
"PIR59";4;2;"EPirio";"2009"
"PIR59";5;1;"EPirio";"2010"
"ARI25";1;0;"EMuro";"2004"
"PIR1";8;0;"EPirio";"2004"
"PIR1";6;0;"EPirio";"2005"
"PIR20";5;0;"EPirio";"2004"
"PIR18";4;0;"EPirio";"2005"
"MUR85";5;0;"DMuro";"2004"
"MUR57";7;0;"DMuro";"2004"
"MUR30";5;0;"DMuro";"2004"
"FIL2";3;1;"EMuro";"2004"
"MUR43";6;0;"DMuro";"2004"
"PIR129";5;0;"EPirio";"2004"
"PIR129";7;0;"EPirio";"2005"
"PIR129";6;0;"EPirio";"2006"
"PIR129";3;0;"EPirio";"2007"
"PIR98";3;3;"EPirio";"2004"
"PIR98";6;0;"EPirio";"2005"
"PIR128";6;0;"EPirio";"2004"
"PIR121";7;0;"EPirio";"2005"
"PIR42";3;2;"EPirio";"2006"
"PIR41";3;4;"EPirio";"2007"
"ARI11";8;0;"EMuro";"2004"
"MUR33";5;1;"DMuro";"2004"
"MUR35";2;0;"DMuro";"2004"
"ARI6";6;0;"EMuro";"2004"
"ARI7";7;1;"EMuro";"2005"
"ARI7";0;2;"EMuro";"2008"
"ARI30";6;0;"EMuro";"2004"
"PIR41";6;1;"EPirio";"2004"
"PIR111";4;0;"EPirio";"2004"
"PIR202";7;0;"EPirio";"2005"
"PIR75";5;1;"EPirio";"2006"
"PIR74";4;0;"EPirio";"2007"
"MUR99";7;3;"DMuro";"2005"
"MUR99";8;1;"DMuro";"2006"
"MUR44";10;0;"DMuro";"2004"
"MUR77";7;0;"DMuro";"2005"
"FEL11";4;0;"DMuro";"2004"
"AVA21";7;0;"DMuro";"2004"
"AVA1";6;0;"DMuro";"2005"
"FIL5";5;0;"EMuro";"2004"
"FIL5";7;0;"EMuro";"2005"
"AVA9";8;1;"DMuro";"2004"
"GRA15";4;0;"EMuro";"2005"
"GRA15";6;0;"EMuro";"2004"
"GRA4";5;0;"EMuro";"2006"
"MUR93";8;0;"DMuro";"2004"
"MUR44";9;1;"DMuro";"2005"
"MUR44";0;10;"DMuro";"2006"
"MUR44";10;0;"DMuro";"2007"
"GRA8";7;0;"EMuro";"2004"
"GRA1";5;0;"EMuro";"2008"
"GRA1";5;0;"EMuro";"2009"
"GRA10";3;4;"EMuro";"2006"
"GRA5";7;0;"EMuro";"2007"
"GRA19";5;0;"EMuro";"2004"
"GRA19";6;0;"EMuro";"2005"
"GRA19";4;0;"EMuro";"2007"
"GRA1";8;0;"EMuro";"2004"
"GRA1";7;0;"EMuro";"2006"
"GRA13";6;1;"EMuro";"2004"
"GRA18";4;0;"EMuro";"2005"
"GRA18";3;3;"EMuro";"2006"
"GRA17";4;0;"EMuro";"2007"
"PIR93";2;3;"EPirio";"2004"
"PIR94";5;1;"EPirio";"2005"
"PIR6";7;0;"EPirio";"2005"
"GRA2";5;0;"EMuro";"2004"
"GRA2";3;0;"EMuro";"2005"
"GRA3";6;2;"EMuro";"2004"
"ARI29";7;0;"EMuro";"2004"
"ARI22";7;0;"EMuro";"2005"
"ARI9";6;0;"EMuro";"2005"
"ARI19";4;0;"EMuro";"2006"
"FIL23";2;5;"EMuro";"2004"
"MUR54";6;0;"DMuro";"2004"
"MUR26";6;3;"DMuro";"2005"
"MUR30";7;0;"DMuro";"2005"
"MUR28";8;0;"DMuro";"2006"
"MUR88";7;0;"DMuro";"2007"
"MUR38";10;0;"DMuro";"2007"
"MUR101";8;0;"DMuro";"2004"
"AVA12";6;0;"DMuro";"2004"
"FEL11";8;0;"DMuro";"2005"
"FEL10";6;1;"DMuro";"2007"
"MUR48";9;0;"DMuro";"2004"
"AVA5";8;0;"DMuro";"2004"
"AVA21";8;0;"DMuro";"2005"
"AVA21";7;0;"DMuro";"2006"
"GRA5";8;0;"EMuro";"2006"
"GRA7";8;0;"EMuro";"2004"
"GRA7";8;0;"EMuro";"2005"
"ARI1";0;9;"EMuro";"2004"
"PIR39";6;0;"EPirio";"2004"
"PIR95";5;0;"EPirio";"2004"
"FEL3";7;0;"DMuro";"2004"
"FEL1";5;0;"DMuro";"2007"
"MUR106";8;0;"DMuro";"2004"
"FIL17";1;5;"EMuro";"2004"
"MUR72";9;0;"DMuro";"2004"
"MUR72";2;8;"DMuro";"2005"
"MUR21";7;0;"DMuro";"2004"
"MUR31";8;0;"DMuro";"2004"
"AVA8";7;0;"DMuro";"2004"
"MUR78";8;0;"DMuro";"2004"
"MUR78";0;9;"DMuro";"2005"
"FIL6";6;0;"EMuro";"2004"
"FIL4";6;0;"EMuro";"2005"
"ARI3";9;0;"EMuro";"2004"
"ARI13";7;0;"EMuro";"2005"
"GRA12";5;0;"EMuro";"2004"
"GRA12";2;0;"EMuro";"2005"
"GRA12";1;0;"EMuro";"2006"
"GRA12";1;0;"EMuro";"2007"
"PIR159";7;0;"EPirio";"2004"
"PIR153";8;0;"EPirio";"2005"
"PIR157";8;0;"EPirio";"2004"
"PIR44";8;0;"EPirio";"2004"
"PIR119";5;0;"EPirio";"2005"
"PIR43";6;0;"EPirio";"2006"
"AVA20";10;0;"DMuro";"2004"
"MUR79";9;0;"DMuro";"2004"
"MUR33";8;0;"DMuro";"2007"
"MUR95";4;3;"DMuro";"2007"
"FIL11";2;6;"EMuro";"2004"
"ARI10";6;0;"EMuro";"2004"
"MUR107";7;2;"DMuro";"2005"
"MUR46";9;0;"DMuro";"2004"
"MUR97";8;0;"DMuro";"2006"
"MUR34";8;0;"DMuro";"2004"
"MUR77";9;0;"DMuro";"2004"
"MUR88";8;0;"DMuro";"2004"
"MUR40";8;0;"DMuro";"2004"
"MUR35";9;0;"DMuro";"2006"
"MUR25";3;0;"DMuro";"2004"
"MUR29";7;0;"DMuro";"2004"
"ARI9";2;4;"EMuro";"2004"
"ARI11";4;0;"EMuro";"2006"
"ARI12";4;0;"EMuro";"2007"
