"";"categorie";"num_ext";"an";"nichoir";"date";"type";"nom_cermo";"clutch";"id"
"1N-1-2023-FEL17NE";"nid";1;"2023";"FEL17";2023-05-27;"nid_elev";"1N-1-2023-FEL17NE";"FEL17";"FEL17_NE"
"1N-3-2023-MUR88bisNE-1";"nid";3;"2023";"MUR88bis";2023-05-03;"nid_elev";"1N-3-2023-MUR88bisNE-1";"MUR88bis-1";"MUR88bis-1_NE"
"1N-4-2023-PIR3NE";"nid";4;"2023";"PIR3";2023-06-11;"nid_elev";"1N-4-2023-PIR3NE";"PIR3";"PIR3_NE"
"1N-5-2023-MUR88NE";"nid";5;"2023";"MUR88";2023-05-07;"nid_elev";"1N-5-2023-MUR88NE";"MUR88";"MUR88_NE"
"1N-6-2023-FEL13NE";"nid";6;"2023";"FEL13";2023-05-08;"nid_elev";"1N-6-2023-FEL13NE";"FEL13-1";"FEL13-1_NE"
"1N-7-2023-MUR72NC";"nid";7;"2023";"MUR72";2023-04-11;"nid_couv";"1N-7-2023-MUR72NC";"MUR72";"MUR72_NC"
"1N-8-2023-FIL3NE";"nid";8;"2023";"FIL3";2023-05-13;"nid_elev";"1N-8-2023-FIL3NE";"FIL3";"FIL3_NE"
"1N-9-2023-MUR47NE";"nid";9;"2023";"MUR47";2023-05-10;"nid_elev";"1N-9-2023-MUR47NE";"MUR47";"MUR47_NE"
"1N-10-2023-MUR87NC";"nid";10;"2023";"MUR87";2023-04-11;"nid_couv";"1N-10-2023-MUR87NC";"MUR87";"MUR87_NC"
"1N-11-2023-FEL20NE-1";"nid";11;"2023";"FEL20";2023-05-04;"nid_elev";"1N-11-2023-FEL20NE-1";"FEL20-1";"FEL20-1_NE"
"1N-12-2023-AVA4NE";"nid";12;"2023";"AVA4";2023-06-14;"nid_elev";"1N-12-2023-AVA4NE";"AVA4";"AVA4_NE"
"1N-13-2023-FEL6NE";"nid";13;"2023";"FEL6";2023-05-20;"nid_elev";"1N-13-2023-FEL6NE";"FEL6";"FEL6_NE"
"1N-14-2023-PIR40NE";"nid";14;"2023";"PIR40";2023-06-08;"nid_elev";"1N-14-2023-PIR40NE";"PIR40";"PIR40_NE"
"1N-15-2023-MUR22NC";"nid";15;"2023";"MUR22";2023-04-11;"nid_couv";"1N-15-2023-MUR22NC";"MUR22";"MUR22_NC"
"1N-16-2023-AVA14NC";"nid";16;"2023";"AVA14";2023-04-25;"nid_couv";"1N-16-2023-AVA14NC";"AVA14";"AVA14_NC"
"1N-17-2023-MUR24NC";"nid";17;"2023";"MUR24";2023-04-11;"nid_couv";"1N-17-2023-MUR24NC";"MUR24-1";"MUR24-1_NC"
"1N-18-2023-PIR20NC";"nid";18;"2023";"PIR20";2023-05-12;"nid_couv";"1N-18-2023-PIR20NC";"PIR20";"PIR20_NC"
"1N-19-2023-FEL3NC";"nid";19;"2023";"FEL3";2023-04-18;"nid_couv";"1N-19-2023-FEL3NC";"FEL3";"FEL3_NC"
"1N-20-2023-AVA18NC-2";"nid";20;"2023";"AVA18";2023-05-27;"nid_couv";"1N-20-2023-AVA18NC-2";"AVA18-2";"AVA18-2_NC"
"1N-21-2023-FEL19NC";"nid";21;"2023";"FEL19";2023-05-25;"nid_couv";"1N-21-2023-FEL19NC";"FEL19";"FEL19_NC"
"1N-23-2023-AVA7NE";"nid";23;"2023";"AVA7";2023-05-12;"nid_elev";"1N-23-2023-AVA7NE";"AVA7";"AVA7_NE"
"1N-24-2023-AVA9NE";"nid";24;"2023";"AVA9";2023-06-22;"nid_elev";"1N-24-2023-AVA9NE";"AVA9-2";"AVA9-2_NE"
"1N-25-2023-MUR42NC";"nid";25;"2023";"MUR42";2023-04-11;"nid_couv";"1N-25-2023-MUR42NC";"MUR42";"MUR42_NC"
"1N-26-2023-FIL12NE";"nid";26;"2023";"FIL12";2023-05-16;"nid_elev";"1N-26-2023-FIL12NE";"FIL12";"FIL12_NE"
"1N-27-2023-FIL19bisNC";"nid";27;"2023";"FIL19bis";2023-04-25;"nid_couv";"1N-27-2023-FIL19bisNC";"FIL19bis";"FIL19bis_NC"
"1N-30-2023-AVA10NE";"nid";30;"2023";"AVA10";2023-05-13;"nid_elev";"1N-30-2023-AVA10NE";"AVA10";"AVA10_NE"
"1N-31-2023-FEL20NE-2";"nid";31;"2023";"FEL20";2023-06-22;"nid_elev";"1N-31-2023-FEL20NE-2";"FEL20-2";"FEL20-2_NE"
"1N-32-2023-FEL13NC";"nid";32;"2023";"FEL13";2023-04-18;"nid_couv";"1N-32-2023-FEL13NC";"FEL13-1";"FEL13-1_NC"
"1N-33-2023-PIR137NE";"nid";33;"2023";"PIR137";2023-06-07;"nid_elev";"1N-33-2023-PIR137NE";"PIR137";"PIR137_NE"
"1N-34-2023-MUR87NE";"nid";34;"2023";"MUR87";2023-05-07;"nid_elev";"1N-34-2023-MUR87NE";"MUR87";"MUR87_NE"
"1N-35-2023-PIR49NC";"nid";35;"2023";"PIR49";2023-05-12;"nid_couv";"1N-35-2023-PIR49NC";"PIR49";"PIR49_NC"
"1N-36-2023-MUR88bisNC-1";"nid";36;"2023";"MUR88bis";2023-04-11;"nid_couv";"1N-36-2023-MUR88bisNC-1";"MUR88bis-1";"MUR88bis-1_NC"
"1N-37-2023-PIR154NC";"nid";37;"2023";"PIR154";2023-05-12;"nid_couv";"1N-37-2023-PIR154NC";"PIR154";"PIR154_NC"
"1N-38-2023-MUR88NC";"nid";38;"2023";"MUR88";2023-04-11;"nid_couv";"1N-38-2023-MUR88NC";"MUR88";"MUR88_NC"
"1N-39-2023-AVA3NE";"nid";39;"2023";"AVA3";2023-05-11;"nid_elev";"1N-39-2023-AVA3NE";"AVA3";"AVA3_NE"
"1N-40-2023-MUR42NE";"nid";40;"2023";"MUR42";2023-05-09;"nid_elev";"1N-40-2023-MUR42NE";"MUR42";"MUR42_NE"
"1N-41-2023-PIR157NE";"nid";41;"2023";"PIR157";2023-06-13;"nid_elev";"1N-41-2023-PIR157NE";"PIR157";"PIR157_NE"
"1N-42-2023-MUR72NE";"nid";42;"2023";"MUR72";2023-05-09;"nid_elev";"1N-42-2023-MUR72NE";"MUR72";"MUR72_NE"
"1N-43-2023-MUR85NC";"nid";43;"2023";"MUR85";2023-04-11;"nid_couv";"1N-43-2023-MUR85NC";"MUR85";"MUR85_NC"
"1N-44-2023-PIR34NE";"nid";44;"2023";"PIR34";2023-06-04;"nid_elev";"1N-44-2023-PIR34NE";"PIR34";"PIR34_NE"
"1N-45-2023-AVA4NC";"nid";45;"2023";"AVA4";2023-05-27;"nid_couv";"1N-45-2023-AVA4NC";"AVA4";"AVA4_NC"
"1N-46-2023-ARI23NC";"nid";46;"2023";"ARI23";2023-04-25;"nid_couv";"1N-46-2023-ARI23NC";"ARI23";"ARI23_NC"
"1N-47-2023-PIR20NE";"nid";47;"2023";"PIR20";2023-06-02;"nid_elev";"1N-47-2023-PIR20NE";"PIR20";"PIR20_NE"
"1N-48-2023-PIR137NC";"nid";48;"2023";"PIR137";2023-05-12;"nid_couv";"1N-48-2023-PIR137NC";"PIR137";"PIR137_NC"
"1N-49-2023-MUR33NC";"nid";49;"2023";"MUR33";2023-04-11;"nid_couv";"1N-49-2023-MUR33NC";"MUR33";"MUR33_NC"
