"";"id";"clutch";"nichoir";"station";"pop";"date";"stade";"obs";"ACH";"PUL";"MEN";"LAV";"IMM"
"ARI2_NC_2023-04-18";"ARI2_NC";"ARI2";"ARI2";"ARI";"EMuro";2023-04-18;"couvaison";"CD";0;0;0;0,5;0
"ARI2_NC_2023-04-25";"ARI2_NC";"ARI2";"ARI2";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;1;1;0
"ARI2_NE_2023-05-02";"ARI2_NE";"ARI2";"ARI2";"ARI";"EMuro";2023-05-02;"elevage";"HD";0;0;0;1;0
"ARI2_NE_2023-05-12";"ARI2_NE";"ARI2";"ARI2";"ARI";"EMuro";2023-05-12;"elevage";"HD";0;1;0;1;0
"ARI4_NC_2023-04-18";"ARI4_NC";"ARI4";"ARI4";"ARI";"EMuro";2023-04-18;"couvaison";"LS";0;0;0;0;0
"ARI4_NC_2023-04-25";"ARI4_NC";"ARI4";"ARI4";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;0;1;0
"ARI4_NE_2023-05-02";"ARI4_NE";"ARI4";"ARI4";"ARI";"EMuro";2023-05-02;"elevage";"HD";0;0;0;1;0
"ARI4_NE_2023-05-14";"ARI4_NE";"ARI4";"ARI4";"ARI";"EMuro";2023-05-14;"elevage";"ABF";0;0;0;2;0
"ARI5_NC_2023-04-18";"ARI5_NC";"ARI5";"ARI5";"ARI";"EMuro";2023-04-18;"couvaison";"CD";0;0;0;1;0
"ARI5_NC_2023-04-25";"ARI5_NC";"ARI5";"ARI5";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;1;1;0
"ARI5_NE_2023-05-02";"ARI5_NE";"ARI5";"ARI5";"ARI";"EMuro";2023-05-02;"elevage";"HD";0;0;1;0;0
"ARI6_NC_2023-04-25";"ARI6_NC";"ARI6";"ARI6";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;0;2;0
"ARI6_NC_2023-05-02";"ARI6_NC";"ARI6";"ARI6";"ARI";"EMuro";2023-05-02;"couvaison";"HD";0;0;0;0;1
"ARI11_NC_2023-04-18";"ARI11_NC";"ARI11";"ARI11";"ARI";"EMuro";2023-04-18;"couvaison";"CD";1;0;0;0;0
"ARI11_NC_2023-04-25";"ARI11_NC";"ARI11";"ARI11";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;0;1;0
"ARI11_NE_2023-05-02";"ARI11_NE";"ARI11";"ARI11";"ARI";"EMuro";2023-05-02;"elevage";"GG";0;0;0;1;0
"ARI13_NC_2023-04-18";"ARI13_NC";"ARI13";"ARI13";"ARI";"EMuro";2023-04-18;"couvaison";"LS";0;0;0;2;0
"ARI13_NC_2023-04-25";"ARI13_NC";"ARI13";"ARI13";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;0;2;0
"ARI13_NE_2023-05-02";"ARI13_NE";"ARI13";"ARI13";"ARI";"EMuro";2023-05-02;"elevage";"GG";0,5;0;0,5;1;0
"ARI14_NC_2023-04-11";"ARI14_NC";"ARI14";"ARI14";"ARI";"EMuro";2023-04-11;"couvaison";"LS";0;0;0;0;0
"ARI14_NC_2023-04-18";"ARI14_NC";"ARI14";"ARI14";"ARI";"EMuro";2023-04-18;"couvaison";"LS";0;0;0;0;0
"ARI14_NE_2023-04-25";"ARI14_NE";"ARI14";"ARI14";"ARI";"EMuro";2023-04-25;"elevage";"HD";0;0;0;1;0
"ARI14_NE_2023-05-08";"ARI14_NE";"ARI14";"ARI14";"ARI";"EMuro";2023-05-08;"elevage";"GG";0;0;0;0,5;0
"ARI16_NC_2023-04-18";"ARI16_NC";"ARI16";"ARI16";"ARI";"EMuro";2023-04-18;"couvaison";"LS";0;0;0;0;0
"ARI16_NC_2023-04-25";"ARI16_NC";"ARI16";"ARI16";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0;0;0,5;0;1
"ARI16_NE_2023-05-02";"ARI16_NE";"ARI16";"ARI16";"ARI";"EMuro";2023-05-02;"elevage";"HD";0;0;0;0;1
"ARI16_NE_2023-05-14";"ARI16_NE";"ARI16";"ARI16";"ARI";"EMuro";2023-05-14;"elevage";"ABF";0;0;0;0;1
"ARI18_NC_2023-04-25";"ARI18_NC";"ARI18";"ARI18";"ARI";"EMuro";2023-04-25;"couvaison";"HD";0,5;0;0;0;0
"ARI18_NC_2023-05-02";"ARI18_NC";"ARI18";"ARI18";"ARI";"EMuro";2023-05-02;"couvaison";"HD";0;0;1;0;0
